1.307446e+11 5.275026e+05
1.765774e+11 7.123906e+05
2.124610e+11 8.569046e+05
2.405551e+11 9.695100e+05
2.625507e+11 1.057030e+06
2.797715e+11 1.124988e+06
2.932541e+11 1.177768e+06
3.038100e+11 1.218795e+06
3.120744e+11 1.250719e+06
3.185448e+11 1.275585e+06
3.236106e+11 1.294972e+06
3.275768e+11 1.310100e+06
3.306820e+11 1.321911e+06
3.331131e+11 1.331139e+06
3.350165e+11 1.338351e+06
3.365067e+11 1.343991e+06
3.376734e+11 1.348401e+06
3.385869e+11 1.351851e+06
3.393020e+11 1.354550e+06
3.398620e+11 1.356662e+06
3.403003e+11 1.358315e+06
3.406435e+11 1.359609e+06
3.409122e+11 1.360622e+06
3.411482e+11 1.361511e+06
3.414169e+11 1.362523e+06
3.417602e+11 1.363816e+06
3.421985e+11 1.365467e+06
3.427584e+11 1.367574e+06
3.434736e+11 1.370264e+06
3.443871e+11 1.373698e+06
3.455538e+11 1.378079e+06
3.470440e+11 1.383670e+06
3.489474e+11 1.390801e+06
3.513785e+11 1.399892e+06
3.544837e+11 1.411476e+06
3.584499e+11 1.426226e+06
3.635157e+11 1.444992e+06
3.699861e+11 1.468838e+06
3.782505e+11 1.499090e+06
3.888064e+11 1.537393e+06
4.022890e+11 1.585754e+06
4.195098e+11 1.646593e+06
4.415053e+11 1.722762e+06
4.695995e+11 1.817526e+06
5.054831e+11 1.934462e+06
5.513160e+11 2.077244e+06
6.098567e+11 2.249281e+06
